            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2461406.833333333, A.D. 2027-Jan-01 08:00:00.0000, -1.728801872022138E-01,  9.721786777983823E-01,  3.404532164184562E-04, -1.734735926295031E-02, -3.109154544347179E-03, -2.274380711833591E-05,  5.702923141731825E-03,  9.874305325445815E-01, -2.394779133749884E-05,
2461407.833333333, A.D. 2027-Jan-02 08:00:00.0000, -1.902020502072557E-01,  9.689174938331641E-01,  3.175374059121290E-04, -1.729547307469064E-02, -3.413071436754304E-03, -2.308367593290966E-05,  5.702803159125053E-03,  9.874097582002049E-01, -1.757883639432559E-05,
2461408.833333333, A.D. 2027-Jan-03 08:00:00.0000, -2.074693479292897E-01,  9.653528343184893E-01,  2.942942251512656E-04, -1.723823066192138E-02, -3.716090138195194E-03, -2.339846183286011E-05,  5.702720337558352E-03,  9.873954180904611E-01, -1.108022018124483E-05,
2461409.833333333, A.D. 2027-Jan-04 08:00:00.0000, -2.246767302418058E-01,  9.614856439865200E-01,  2.707490195494512E-04, -1.717564442137768E-02, -4.018117550650285E-03, -2.368763558782631E-05,  5.702675410329794E-03,  9.873876391819749E-01, -4.457343437308516E-06,
2461410.833333333, A.D. 2027-Jan-05 08:00:00.0000, -2.418188600137605E-01,  9.573169606822908E-01,  2.469276753013173E-04, -1.710772794644074E-02, -4.319060571671956E-03, -2.395064481328353E-05,  5.702669079147273E-03,  9.873865429717026E-01,  2.284227891445609E-06,
2461411.833333333, A.D. 2027-Jan-06 08:00:00.0000, -2.588904143111199E-01,  9.528479153060900E-01,  2.228566432621420E-04, -1.703449604018124E-02, -4.618826211723688E-03, -2.418691270959970E-05,  5.702702012791086E-03,  9.873922452553637E-01,  9.138637912939402E-06,
2461412.833333333, A.D. 2027-Jan-07 08:00:00.0000, -2.758860856108566E-01,  9.480797316456074E-01,  1.985629644616211E-04, -1.695596472366322E-02, -4.917321702645955E-03, -2.439583538232967E-05,  5.702774845107924E-03,  9.874048557801094E-01,  1.609962813638664E-05,
2461413.833333333, A.D. 2027-Jan-08 08:00:00.0000, -2.928005830220392E-01,  9.430137261031921E-01,  1.740742989564522E-04, -1.687215123898087E-02, -5.214454600479747E-03, -2.457677754442280E-05,  5.702888172385979E-03,  9.874244777900404E-01,  2.316043357679567E-05,
2461414.833333333, A.D. 2027-Jan-09 08:00:00.0000, -3.096286335063064E-01,  9.376513073211783E-01,  1.494189600949774E-04, -1.678307404806273E-02, -5.510132886119992E-03, -2.472906652485130E-05,  5.703042550143055E-03,  9.874512074700822E-01,  3.031368449918132E-05,
2461415.833333333, A.D. 2027-Jan-10 08:00:00.0000, -3.263649830952948E-01,  9.319939757063186E-01,  1.246259557014013E-04, -1.668875282914502E-02, -5.804265066698650E-03, -2.485198443770342E-05,  5.703238489356971E-03,  9.874851332933022E-01,  3.755131185997179E-05,
2461416.833333333, A.D. 2027-Jan-11 08:00:00.0000, -3.430043981058754E-01,  9.260433228517199E-01,  9.972503841070745E-05, -1.658920847458243E-02, -6.096760280164297E-03, -2.494475836291725E-05,  5.703476452162353E-03,  9.875263352758304E-01,  4.486445596809782E-05,
